countyfips,countyname,statename,year,month,day_endofweek,weekof,emp
53001,Adams,Washington,2020,1,17,2020-01-17,.
53001,Adams,Washington,2020,1,24,2020-01-24,.
53001,Adams,Washington,2020,1,31,2020-01-31,.
53001,Adams,Washington,2020,2,7,2020-02-07,.
53001,Adams,Washington,2020,2,14,2020-02-14,.
53001,Adams,Washington,2020,2,21,2020-02-21,.
53001,Adams,Washington,2020,2,28,2020-02-28,.
53001,Adams,Washington,2020,3,6,2020-03-06,.
53001,Adams,Washington,2020,3,13,2020-03-13,.
53001,Adams,Washington,2020,3,20,2020-03-20,.
53001,Adams,Washington,2020,3,27,2020-03-27,.
53001,Adams,Washington,2020,4,3,2020-04-03,.
53001,Adams,Washington,2020,4,10,2020-04-10,.
53001,Adams,Washington,2020,4,17,2020-04-17,.
53001,Adams,Washington,2020,4,24,2020-04-24,.
53001,Adams,Washington,2020,5,1,2020-05-01,.
53001,Adams,Washington,2020,5,8,2020-05-08,.
53001,Adams,Washington,2020,5,15,2020-05-15,.
53001,Adams,Washington,2020,5,22,2020-05-22,.
53001,Adams,Washington,2020,5,29,2020-05-29,.
53001,Adams,Washington,2020,6,5,2020-06-05,.
53001,Adams,Washington,2020,6,12,2020-06-12,.
53001,Adams,Washington,2020,6,19,2020-06-19,.
53001,Adams,Washington,2020,6,26,2020-06-26,.
53001,Adams,Washington,2020,7,3,2020-07-03,.
53001,Adams,Washington,2020,7,10,2020-07-10,.
53001,Adams,Washington,2020,7,17,2020-07-17,.
53001,Adams,Washington,2020,7,24,2020-07-24,.
53001,Adams,Washington,2020,7,31,2020-07-31,.
53001,Adams,Washington,2020,8,7,2020-08-07,.
53001,Adams,Washington,2020,8,14,2020-08-14,.
53001,Adams,Washington,2020,8,21,2020-08-21,.
53001,Adams,Washington,2020,8,28,2020-08-28,.
53001,Adams,Washington,2020,9,4,2020-09-04,.
53001,Adams,Washington,2020,9,11,2020-09-11,.
53001,Adams,Washington,2020,9,18,2020-09-18,.
53001,Adams,Washington,2020,9,25,2020-09-25,.
53001,Adams,Washington,2020,10,2,2020-10-02,.
53001,Adams,Washington,2020,10,9,2020-10-09,.
53001,Adams,Washington,2020,10,16,2020-10-16,.
53001,Adams,Washington,2020,10,23,2020-10-23,.
53001,Adams,Washington,2020,10,30,2020-10-30,.
53001,Adams,Washington,2020,11,6,2020-11-06,.
53001,Adams,Washington,2020,11,13,2020-11-13,.
53001,Adams,Washington,2020,11,20,2020-11-20,.
53001,Adams,Washington,2020,11,27,2020-11-27,.
53001,Adams,Washington,2020,12,4,2020-12-04,.
53001,Adams,Washington,2020,12,11,2020-12-11,.
53001,Adams,Washington,2020,12,18,2020-12-18,.
53001,Adams,Washington,2020,12,25,2020-12-25,.
53001,Adams,Washington,2021,1,1,2021-01-01,.
53001,Adams,Washington,2021,1,8,2021-01-08,.
53001,Adams,Washington,2021,1,15,2021-01-15,.
53001,Adams,Washington,2021,1,22,2021-01-22,.
53001,Adams,Washington,2021,1,29,2021-01-29,.
53001,Adams,Washington,2021,2,5,2021-02-05,.
53001,Adams,Washington,2021,2,12,2021-02-12,.
53001,Adams,Washington,2021,2,19,2021-02-19,.
53001,Adams,Washington,2021,2,26,2021-02-26,.
53001,Adams,Washington,2021,3,5,2021-03-05,.
53001,Adams,Washington,2021,3,12,2021-03-12,.
53001,Adams,Washington,2021,3,19,2021-03-19,.
53001,Adams,Washington,2021,3,26,2021-03-26,.
53001,Adams,Washington,2021,4,2,2021-04-02,.
53001,Adams,Washington,2021,4,9,2021-04-09,.
53001,Adams,Washington,2021,4,16,2021-04-16,.
53001,Adams,Washington,2021,4,23,2021-04-23,.
53001,Adams,Washington,2021,4,30,2021-04-30,.
53001,Adams,Washington,2021,5,7,2021-05-07,.
53001,Adams,Washington,2021,5,14,2021-05-14,.
53001,Adams,Washington,2021,5,21,2021-05-21,.
53001,Adams,Washington,2021,5,28,2021-05-28,.
53001,Adams,Washington,2021,6,4,2021-06-04,.
53001,Adams,Washington,2021,6,11,2021-06-11,.
53001,Adams,Washington,2021,6,18,2021-06-18,.
53001,Adams,Washington,2021,6,25,2021-06-25,.
53001,Adams,Washington,2021,7,2,2021-07-02,.
53001,Adams,Washington,2021,7,9,2021-07-09,.
53001,Adams,Washington,2021,7,16,2021-07-16,.
53001,Adams,Washington,2021,7,23,2021-07-23,.
53001,Adams,Washington,2021,7,30,2021-07-30,.
53001,Adams,Washington,2021,8,6,2021-08-06,.
53001,Adams,Washington,2021,8,13,2021-08-13,.
53001,Adams,Washington,2021,8,20,2021-08-20,.
53001,Adams,Washington,2021,8,27,2021-08-27,.
53001,Adams,Washington,2021,9,3,2021-09-03,.
53001,Adams,Washington,2021,9,10,2021-09-10,.
53001,Adams,Washington,2021,9,17,2021-09-17,.
53001,Adams,Washington,2021,9,24,2021-09-24,.
53001,Adams,Washington,2021,10,1,2021-10-01,.
53001,Adams,Washington,2021,10,8,2021-10-08,.
53001,Adams,Washington,2021,10,15,2021-10-15,.
53001,Adams,Washington,2021,10,22,2021-10-22,.
53001,Adams,Washington,2021,10,29,2021-10-29,.
53001,Adams,Washington,2021,11,5,2021-11-05,.
53001,Adams,Washington,2021,11,12,2021-11-12,.
53001,Adams,Washington,2021,11,19,2021-11-19,.
53001,Adams,Washington,2021,11,26,2021-11-26,.
53001,Adams,Washington,2021,12,3,2021-12-03,.
53001,Adams,Washington,2021,12,10,2021-12-10,.
53001,Adams,Washington,2021,12,17,2021-12-17,.
53001,Adams,Washington,2021,12,24,2021-12-24,.
53001,Adams,Washington,2021,12,31,2021-12-31,.
53001,Adams,Washington,2022,1,7,2022-01-07,.
53001,Adams,Washington,2022,1,14,2022-01-14,.
53001,Adams,Washington,2022,1,21,2022-01-21,.
53001,Adams,Washington,2022,1,28,2022-01-28,.
53001,Adams,Washington,2022,2,4,2022-02-04,.
53001,Adams,Washington,2022,2,11,2022-02-11,.
53001,Adams,Washington,2022,2,18,2022-02-18,.
53001,Adams,Washington,2022,2,25,2022-02-25,.
53001,Adams,Washington,2022,3,4,2022-03-04,.
53001,Adams,Washington,2022,3,11,2022-03-11,.
53001,Adams,Washington,2022,3,18,2022-03-18,.
53001,Adams,Washington,2022,3,25,2022-03-25,.
53001,Adams,Washington,2022,4,1,2022-04-01,.
53001,Adams,Washington,2022,4,8,2022-04-08,.
53001,Adams,Washington,2022,4,15,2022-04-15,.
53001,Adams,Washington,2022,4,22,2022-04-22,.
53001,Adams,Washington,2022,4,29,2022-04-29,.
53001,Adams,Washington,2022,5,6,2022-05-06,.
53001,Adams,Washington,2022,5,13,2022-05-13,.
53001,Adams,Washington,2022,5,20,2022-05-20,.
53001,Adams,Washington,2022,5,27,2022-05-27,.
53001,Adams,Washington,2022,6,3,2022-06-03,.
53001,Adams,Washington,2022,6,10,2022-06-10,.
53001,Adams,Washington,2022,6,17,2022-06-17,.
53001,Adams,Washington,2022,6,24,2022-06-24,.
53001,Adams,Washington,2022,7,1,2022-07-01,.
53001,Adams,Washington,2022,7,8,2022-07-08,.
53001,Adams,Washington,2022,7,15,2022-07-15,.
53001,Adams,Washington,2022,7,22,2022-07-22,.
53001,Adams,Washington,2022,7,29,2022-07-29,.
53001,Adams,Washington,2022,8,5,2022-08-05,.
53001,Adams,Washington,2022,8,12,2022-08-12,.
53001,Adams,Washington,2022,8,19,2022-08-19,.
53001,Adams,Washington,2022,8,26,2022-08-26,.
53001,Adams,Washington,2022,9,2,2022-09-02,.
53001,Adams,Washington,2022,9,9,2022-09-09,.
53001,Adams,Washington,2022,9,16,2022-09-16,.
53001,Adams,Washington,2022,9,23,2022-09-23,.
53001,Adams,Washington,2022,9,30,2022-09-30,.
53001,Adams,Washington,2022,10,7,2022-10-07,.
53001,Adams,Washington,2022,10,14,2022-10-14,.
53001,Adams,Washington,2022,10,21,2022-10-21,.
53001,Adams,Washington,2022,10,28,2022-10-28,.
53001,Adams,Washington,2022,11,4,2022-11-04,.
53001,Adams,Washington,2022,11,11,2022-11-11,.
53001,Adams,Washington,2022,11,18,2022-11-18,.
53001,Adams,Washington,2022,11,25,2022-11-25,.
53001,Adams,Washington,2022,12,2,2022-12-02,.
53001,Adams,Washington,2022,12,9,2022-12-09,.
53001,Adams,Washington,2022,12,16,2022-12-16,.
53001,Adams,Washington,2022,12,23,2022-12-23,.
53001,Adams,Washington,2022,12,30,2022-12-30,.
53001,Adams,Washington,2023,1,6,2023-01-06,.
53001,Adams,Washington,2023,1,13,2023-01-13,.
53001,Adams,Washington,2023,1,20,2023-01-20,.
53001,Adams,Washington,2023,1,27,2023-01-27,.
53001,Adams,Washington,2023,2,3,2023-02-03,.
53001,Adams,Washington,2023,2,10,2023-02-10,.
53001,Adams,Washington,2023,2,17,2023-02-17,.
53001,Adams,Washington,2023,2,24,2023-02-24,.
53001,Adams,Washington,2023,3,3,2023-03-03,.
53001,Adams,Washington,2023,3,10,2023-03-10,.
53001,Adams,Washington,2023,3,17,2023-03-17,.
53001,Adams,Washington,2023,3,24,2023-03-24,.
53001,Adams,Washington,2023,3,31,2023-03-31,.
53001,Adams,Washington,2023,4,7,2023-04-07,.
53001,Adams,Washington,2023,4,14,2023-04-14,.
53001,Adams,Washington,2023,4,21,2023-04-21,.
53001,Adams,Washington,2023,4,28,2023-04-28,.
53001,Adams,Washington,2023,5,5,2023-05-05,.
53001,Adams,Washington,2023,5,12,2023-05-12,.
53001,Adams,Washington,2023,5,19,2023-05-19,.
53001,Adams,Washington,2023,5,26,2023-05-26,.
53001,Adams,Washington,2023,6,2,2023-06-02,.
53001,Adams,Washington,2023,6,9,2023-06-09,.
53001,Adams,Washington,2023,6,16,2023-06-16,.
53001,Adams,Washington,2023,6,23,2023-06-23,.
53001,Adams,Washington,2023,6,30,2023-06-30,.
53001,Adams,Washington,2023,7,7,2023-07-07,.
