countyfips,countyname,statename,year,month,day_endofweek,weekof,job_posting_type,indexed_change_relative_to_jan_2020
53001,Adams,Washington,2020,1,10,2020-01-10,all,.
53001,Adams,Washington,2020,1,10,2020-01-10,requiring low preparation,.
53001,Adams,Washington,2020,1,10,2020-01-10,requiring high preparation,.
53001,Adams,Washington,2020,1,17,2020-01-17,all,.
53001,Adams,Washington,2020,1,17,2020-01-17,requiring low preparation,.
53001,Adams,Washington,2020,1,17,2020-01-17,requiring high preparation,.
53001,Adams,Washington,2020,1,24,2020-01-24,all,.
53001,Adams,Washington,2020,1,24,2020-01-24,requiring low preparation,.
53001,Adams,Washington,2020,1,24,2020-01-24,requiring high preparation,.
53001,Adams,Washington,2020,1,31,2020-01-31,all,.
53001,Adams,Washington,2020,1,31,2020-01-31,requiring low preparation,.
53001,Adams,Washington,2020,1,31,2020-01-31,requiring high preparation,.
53001,Adams,Washington,2020,2,7,2020-02-07,all,.
53001,Adams,Washington,2020,2,7,2020-02-07,requiring low preparation,.
53001,Adams,Washington,2020,2,7,2020-02-07,requiring high preparation,.
53001,Adams,Washington,2020,2,14,2020-02-14,all,.
53001,Adams,Washington,2020,2,14,2020-02-14,requiring low preparation,.
53001,Adams,Washington,2020,2,14,2020-02-14,requiring high preparation,.
53001,Adams,Washington,2020,2,21,2020-02-21,all,.
53001,Adams,Washington,2020,2,21,2020-02-21,requiring low preparation,.
53001,Adams,Washington,2020,2,21,2020-02-21,requiring high preparation,.
53001,Adams,Washington,2020,2,28,2020-02-28,all,.
53001,Adams,Washington,2020,2,28,2020-02-28,requiring low preparation,.
53001,Adams,Washington,2020,2,28,2020-02-28,requiring high preparation,.
53001,Adams,Washington,2020,3,6,2020-03-06,all,.
53001,Adams,Washington,2020,3,6,2020-03-06,requiring low preparation,.
53001,Adams,Washington,2020,3,6,2020-03-06,requiring high preparation,.
53001,Adams,Washington,2020,3,13,2020-03-13,all,.
53001,Adams,Washington,2020,3,13,2020-03-13,requiring low preparation,.
53001,Adams,Washington,2020,3,13,2020-03-13,requiring high preparation,.
53001,Adams,Washington,2020,3,20,2020-03-20,all,.
53001,Adams,Washington,2020,3,20,2020-03-20,requiring low preparation,.
53001,Adams,Washington,2020,3,20,2020-03-20,requiring high preparation,.
53001,Adams,Washington,2020,3,27,2020-03-27,all,.
53001,Adams,Washington,2020,3,27,2020-03-27,requiring low preparation,.
53001,Adams,Washington,2020,3,27,2020-03-27,requiring high preparation,.
53001,Adams,Washington,2020,4,3,2020-04-03,all,.
53001,Adams,Washington,2020,4,3,2020-04-03,requiring low preparation,.
53001,Adams,Washington,2020,4,3,2020-04-03,requiring high preparation,.
53001,Adams,Washington,2020,4,10,2020-04-10,all,.
53001,Adams,Washington,2020,4,10,2020-04-10,requiring low preparation,.
53001,Adams,Washington,2020,4,10,2020-04-10,requiring high preparation,.
53001,Adams,Washington,2020,4,17,2020-04-17,all,.
53001,Adams,Washington,2020,4,17,2020-04-17,requiring low preparation,.
53001,Adams,Washington,2020,4,17,2020-04-17,requiring high preparation,.
53001,Adams,Washington,2020,4,24,2020-04-24,all,.
53001,Adams,Washington,2020,4,24,2020-04-24,requiring low preparation,.
53001,Adams,Washington,2020,4,24,2020-04-24,requiring high preparation,.
53001,Adams,Washington,2020,5,1,2020-05-01,all,.
53001,Adams,Washington,2020,5,1,2020-05-01,requiring low preparation,.
53001,Adams,Washington,2020,5,1,2020-05-01,requiring high preparation,.
53001,Adams,Washington,2020,5,8,2020-05-08,all,.
53001,Adams,Washington,2020,5,8,2020-05-08,requiring low preparation,.
53001,Adams,Washington,2020,5,8,2020-05-08,requiring high preparation,.
53001,Adams,Washington,2020,5,15,2020-05-15,all,.
53001,Adams,Washington,2020,5,15,2020-05-15,requiring low preparation,.
53001,Adams,Washington,2020,5,15,2020-05-15,requiring high preparation,.
53001,Adams,Washington,2020,5,22,2020-05-22,all,.
53001,Adams,Washington,2020,5,22,2020-05-22,requiring low preparation,.
53001,Adams,Washington,2020,5,22,2020-05-22,requiring high preparation,.
53001,Adams,Washington,2020,5,29,2020-05-29,all,.
53001,Adams,Washington,2020,5,29,2020-05-29,requiring low preparation,.
