county,year,total,male,female,age_less_than_15,age_15_to_24,age_25_to_34,age_35_to_44,age_45_to_54,age_55_to_64,age_65_to_74,age_75_to_84,age_85_and_above,race_white,race_black,race_asian,race_other,hispanic_latino,not_hispanic_latino,total_housing_unit
"Benton County, Washington",2010,176455,88319,88136,39296,25500,21776,21956,25484,21636,11559,7069,2179,146517,3252,6364,21144,33075,143380,68713
"Chelan County, Washington",2010,72735,36342,36393,15052,9563,8498,7700,10748,9856,5816,3349,2153,67610,396,1012,3227,18842,53893,35498
"Clallam County, Washington",2010,71515,35819,35696,10952,8276,6537,6326,10143,12097,9229,5189,2766,64807,1071,1570,1005,3694,67821,35605
"Clark County, Washington",2010,427044,210494,216550,93627,55806,54117,60168,61445,52130,29138,13560,7053,381619,12929,23228,13871,32504,394540,167548
"Cowlitz County, Washington",2010,102501,49831,52670,20533,12117,11867,12870,14949,14095,9068,4662,2340,96295,809,2897,2627,8020,94481,43457
"Franklin County, Washington",2010,79223,41191,38032,23552,11652,13341,10700,7444,6728,3240,2049,517,46461,2293,2549,29097,40583,38640,24531
"Grant County, Washington",2010,89744,46052,43692,23137,13445,11704,11231,10481,9391,5583,3635,1137,67493,2647,1382,18560,34498,55246,35114
"Grays Harbor County, Washington",2010,72882,37419,35463,12680,9116,8311,8673,11101,11347,6472,4032,1150,64233,1133,1516,3791,6310,66572,35179
"Island County, Washington",2010,78681,38738,39943,13333,9924,9528,7897,11173,12518,8544,4100,1664,71115,2786,4715,1241,4368,74313,40270
"King County, Washington",2010,1937961,965913,972048,345349,248003,314288,297406,290688,230557,113064,62809,35797,1432553,145991,330812,68545,173512,1764449,851712
"Kitsap County, Washington",2010,251809,127434,124375,46023,37222,28794,31170,39611,35509,19495,9705,4280,221303,10352,18912,6480,15740,236069,107465
"Lewis County, Washington",2010,75487,37991,37496,14308,9639,8186,9013,10628,10500,7285,3980,1948,71547,787,1109,3531,6542,68945,34081
"Pierce County, Washington",2010,795628,393059,402569,163580,112332,111469,108520,118838,92935,49338,26761,11855,647109,75372,67876,23691,73195,722433,325755
"Skagit County, Washington",2010,117102,58248,58854,22581,14455,14379,13686,16620,16508,10386,5854,2633,107039,1132,3072,4584,19716,97386,51504
"Snohomish County, Washington",2010,715470,358161,357309,143269,94196,100655,103560,114418,85977,40491,22272,10632,601292,26759,77215,17728,64722,650748,287121
"Spokane County, Washington",2010,472147,232189,239958,90580,73163,63048,57324,67448,59190,32443,20425,8526,436604,14197,16887,7091,21336,450811,201782
"Thurston County, Washington",2010,253087,123626,129461,47848,34412,34101,32740,36553,34739,17895,9257,5542,223403,10936,17677,5178,18007,235080,108458
"Whatcom County, Washington",2010,201628,100022,101606,34592,36062,26487,24279,27262,26278,14908,8089,3671,182375,3228,10155,4864,15784,185844,90728
"Yakima County, Washington",2010,244485,121688,122797,62547,35910,32321,29535,29990,25852,15358,9189,3783,189065,3376,3753,44485,110264,134221,85552
"Benton County, Washington",2011,180678,90926,89752,39998,25372,22050,23220,25847,22773,12584,5769,3065,150581,3656,6349,21490,33976,146702,69588
"Chelan County, Washington",2011,73477,37565,35912,14418,10791,7266,8279,11256,10225,5984,3607,1651,66222,717,1004,6026,19493,53984,35869
"Clallam County, Washington",2011,71838,35288,36550,10442,7795,7442,6726,9283,12379,9544,5977,2250,65802,495,2048,443,3837,68001,35831
"Clark County, Washington",2011,433418,213485,219933,93062,56116,55067,61738,60582,55070,30600,14139,7044,389734,14581,24611,10431,33891,399527,168435
"Cowlitz County, Washington",2011,102478,50589,51889,20164,11858,11797,12661,15440,13887,9343,5589,1739,98237,1834,2288,2613,8326,94152,43613
"Franklin County, Washington",2011,83455,42128,41327,24493,12672,14064,13074,7953,5867,3180,1519,633,45912,1131,3906,33734,42170,41285,25118
"Grant County, Washington",2011,91265,46390,44875,23492,13353,11615,10992,10857,9061,7157,3524,1214,62015,1449,2096,26115,35345,55920,35478
"Grays Harbor County, Washington",2011,72546,37063,35483,12816,9234,8368,8285,10249,11508,7152,3606,1328,64878,861,1646,3255,6453,66093,35270
"Island County, Washington",2011,78971,39295,39676,12617,9355,9374,8372,11532,12901,8756,3987,2077,69905,2871,5111,2237,4667,74304,40725
"King County, Washington",2011,1969722,983322,986400,349771,245624,323899,300354,289680,239756,120629,65626,34383,1455053,151775,339189,67181,180575,1789147,854705
"Kitsap County, Washington",2011,254633,129319,125314,45792,37398,31928,30953,36993,37384,19850,10190,4145,220012,10323,19342,7572,16863,237770,108371
"Lewis County, Washington",2011,75901,38121,37780,13982,9907,8296,8612,10503,11413,7378,3729,2081,72596,865,1003,1865,6777,69124,34395
"Pierce County, Washington",2011,807904,401748,406156,163942,117526,116278,107474,115755,95179,52304,27099,12347,661759,75865,70966,22786,76272,731632,327251
"Skagit County, Washington",2011,118109,58763,59346,22782,15038,13810,14156,15997,16435,10974,6108,2809,106104,1542,2999,6958,20446,97663,51940
"Snohomish County, Washington",2011,722400,361579,360821,142799,93371,100360,104567,113910,90949,42908,22716,10820,609858,26289,79046,17335,66330,656070,289170
"Spokane County, Washington",2011,473761,233998,239763,90185,72227,62346,57324,67240,61645,33440,20377,8977,437786,14808,16747,5204,22110,451651,203173
"Thurston County, Washington",2011,256591,124499,132092,47728,33854,34657,33388,36881,36407,19434,10607,3635,224468,10423,18673,4432,18996,237595,109944
"Whatcom County, Washington",2011,203663,102153,101510,34046,37021,28000,23204,26168,27729,15328,8494,3673,184646,3365,11513,3592,16666,186997,91276
"Yakima County, Washington",2011,247141,124983,122158,63230,36364,34383,28504,29442,26028,15701,8722,4767,197927,4111,3978,37710,113121,134020,85905
"Benton County, Washington",2012,182398,90820,91578,40345,24634,23689,22258,25308,22662,13829,6835,2838,157256,3593,6879,17213,34974,147424,70648
"Chelan County, Washington",2012,73687,36382,37305,15067,9773,7510,8522,10585,10720,6157,3718,1635,67732,617,975,4231,19751,53936,35646
"Clallam County, Washington",2012,71863,35377,36486,10277,7120,7902,6852,8934,12632,10137,5365,2644,65429,678,2014,N,3896,67967,35704
"Clark County, Washington",2012,438287,217195,221092,93330,55430,56216,60333,62457,55087,33144,16455,5835,387355,13652,25785,17105,35373,402914,168891
"Cowlitz County, Washington",2012,101996,50655,51341,19153,12678,11597,12303,14303,14798,9933,4712,2519,96341,1376,2481,2341,8201,93795,43419
"Franklin County, Washington",2012,85845,45086,40759,25147,13087,13911,11035,8983,8134,3904,982,662,54156,1475,3498,28160,43731,42114,25691
"Grant County, Washington",2012,91723,47111,44612,23700,13384,12093,11067,10686,9771,6434,3125,1463,65936,741,1685,22498,35922,55801,35236
"Grays Harbor County, Washington",2012,71692,36709,34983,12389,8328,8403,8688,10024,11323,7484,3857,1196,64567,1252,1695,1462,6603,65089,35230
"Island County, Washington",2012,79177,39515,39662,12734,10136,9629,8165,10089,12396,9694,4173,2161,71195,2471,5202,1126,4918,74259,40458
"King County, Washington",2012,2007440,1001445,1005995,355118,248407,331544,304651,289714,245843,130008,68375,33780,1480645,158422,355663,69263,184754,1822686,859736
"Kitsap County, Washington",2012,254991,129435,125556,44629,36415,34203,29836,36417,36466,22784,10283,3958,226303,10501,19835,4824,17301,237690,108094
"Lewis County, Washington",2012,75621,37863,37758,13301,10203,8301,8438,10779,10446,8292,3417,2444,73318,973,1109,939,6929,68692,34113
"Pierce County, Washington",2012,811681,401856,409825,164817,114074,118450,106243,114636,97329,55542,28379,12211,655282,75609,73733,26091,78131,733550,328644
"Skagit County, Washington",2012,118222,58937,59285,22713,15363,13680,13374,15597,17197,11593,6362,2343,107412,1629,3386,5619,20435,97787,51611
"Snohomish County, Washington",2012,733036,367352,365684,142965,94646,103118,104155,113393,92403,49052,22630,10674,618379,28452,83612,18707,68116,664920,290555
"Spokane County, Washington",2012,475735,235740,239995,90594,70760,63770,58669,64301,62232,36398,20799,8212,439231,14705,16857,8354,23078,452657,204024
"Thurston County, Washington",2012,258332,125998,132334,48099,33821,35600,32733,35698,35146,21590,11005,4640,227321,11096,19163,3786,19813,238519,110057
"Whatcom County, Washington",2012,205262,101216,104046,34119,37427,25707,23246,27998,27834,16565,8559,3807,183361,3578,11231,5549,17162,188100,91290
"Yakima County, Washington",2012,246977,123663,123314,62795,36540,32394,29713,29335,26031,16609,9045,4515,203241,3560,4124,30411,114379,132598,86032
"Benton County, Washington",2013,184486,92668,91818,41686,24618,24881,22571,23668,23540,13636,7322,2564,148466,4330,7390,27563,36757,147729,71275
"Chelan County, Washington",2013,73967,35763,38204,14695,9181,9816,8412,8944,10613,6798,3250,2258,67840,552,1147,4335,20060,53907,35636
"Clallam County, Washington",2013,72312,36406,35906,10031,8231,6934,6906,8732,12121,10795,5863,2699,65096,937,1843,850,4114,68198,35611
"Clark County, Washington",2013,443817,220284,223533,94415,56624,55807,61820,60460,56427,35897,15223,7144,391006,14808,26205,16402,37171,406646,169730
"Cowlitz County, Washington",2013,101860,49587,52273,19623,11864,11586,12645,13636,14400,10628,5128,2350,97527,1296,2844,1402,8385,93475,43259
"Franklin County, Washington",2013,86638,44774,41864,25773,12339,13361,11830,8998,6705,4375,2718,539,68058,2843,2287,15234,44534,42104,26038
"Grant County, Washington",2013,91878,46324,45554,23089,14681,10791,11595,9407,10987,6525,3564,1239,67907,810,1575,22008,36183,55695,35122
"Grays Harbor County, Washington",2013,71078,36317,34761,11820,8883,9080,7834,9418,11012,7724,3809,1498,63784,1476,1627,874,6818,64260,35090
"Island County, Washington",2013,78801,38954,39847,12532,10415,8761,8283,9723,12243,10052,4769,2023,70600,2731,4866,1622,5253,73548,40412
"King County, Washington",2013,2044449,1020603,1023846,362875,248917,341580,307344,290168,250048,140063,66662,36792,1515168,164115,370623,52866,190526,1853923,868388
"Kitsap County, Washington",2013,253968,128302,125666,44504,36285,33856,30015,35091,35896,23432,10584,4305,223098,10289,20401,5325,17752,236216,108336
"Lewis County, Washington",2013,75081,37160,37921,13232,9145,9355,8128,10077,10726,8629,3964,1825,71925,363,1282,2049,7068,68013,33936
"Pierce County, Washington",2013,819743,407494,412249,165750,113148,121604,105953,113145,99572,58970,29194,12407,660027,78255,74505,25936,80940,738803,329569
"Skagit County, Washington",2013,118837,58822,60015,22357,14662,14940,13364,15052,16709,12366,6590,2797,107524,1998,3608,7130,20878,97959,51542
"Snohomish County, Washington",2013,745913,373570,372343,145387,94298,104824,105016,113226,95936,51885,24081,11260,623433,31450,87451,16427,70844,675069,293095
"Spokane County, Washington",2013,479398,237497,241901,90251,68514,67634,58042,63378,63326,38951,20603,8699,445826,15325,16064,4286,24129,455269,204343
"Thurston County, Washington",2013,262388,127893,134495,48834,33887,36206,34478,34451,36296,22880,11210,4146,228596,12286,22065,5144,21180,241208,110401
"Whatcom County, Washington",2013,206353,101656,104697,34738,39521,25974,22621,26143,26964,17785,9187,3420,184208,4233,11700,4960,17833,188520,91396
"Yakima County, Washington",2013,247044,123884,123160,62676,36445,32079,29423,28754,26760,17521,9202,4184,188056,3363,5052,43821,116218,130826,85898
"Benton County, Washington",2014,186486,93521,92965,40742,26198,25153,22420,23563,23157,14750,6900,3603,156241,5050,6911,21827,38094,148392,72336
"Chelan County, Washington",2014,74588,37585,37003,15810,9521,7961,8903,9077,10390,7376,3726,1824,71639,1307,1282,1636,20448,54140,36244
"Clallam County, Washington",2014,72715,35966,36749,10269,8314,7800,6676,8104,12073,10998,5314,3167,66652,655,1561,1303,4229,68486,35811
"Clark County, Washington",2014,451008,224066,226942,93911,57706,56818,61906,60973,57675,38581,17238,6200,399551,14895,27276,19359,39110,411898,172778
"Cowlitz County, Washington",2014,102133,50908,51225,18855,13224,11036,12215,13747,14802,10845,5039,2370,96771,2134,2468,1595,8598,93535,43506
"Franklin County, Washington",2014,87809,46312,41497,24954,13264,13574,11643,9769,7694,4726,1517,668,67109,2255,2685,16497,45532,42277,26451
"Grant County, Washington",2014,93147,46928,46219,23371,13660,12195,11400,10329,10452,6985,3409,1346,73319,1578,1559,17405,37166,55981,35521
"Grays Harbor County, Washington",2014,70818,36134,34684,12375,7901,8075,7555,10216,11276,8290,3746,1384,65276,1673,1648,N,6952,63866,35248
"Island County, Washington",2014,79275,39759,39516,12729,8845,9709,8632,9178,12000,11149,5054,1979,71228,2906,5788,1869,5621,73654,40676
"King County, Washington",2014,2079967,1039852,1040115,366274,250548,353518,309737,291557,255002,147615,67983,37733,1522358,166520,391068,67121,195894,1884073,880488
"Kitsap County, Washington",2014,254183,130101,124082,43925,36408,33703,28314,34426,36555,25589,10269,4994,223588,11052,19646,5558,18338,235845,109329
"Lewis County, Washington",2014,75128,37462,37666,13654,8610,8393,8554,10369,10801,8488,3928,2331,73212,1298,1443,N,7315,67813,34081
"Pierce County, Washington",2014,831928,413067,418861,167105,114932,124576,107113,111080,101768,62872,28239,14243,674686,81143,75373,28765,84707,747221,332742
"Skagit County, Washington",2014,120365,59984,60381,22383,15392,14318,14081,14500,16827,13405,6597,2862,103107,1284,3621,11694,21381,98984,51885
"Snohomish County, Washington",2014,759583,381576,378007,145949,96612,108997,104669,112648,99417,55490,23971,11830,635162,31702,91400,18639,73684,685899,297751
"Spokane County, Washington",2014,484318,239807,244511,90990,69621,68768,57796,62091,62835,42856,18936,10425,451278,15861,17591,5093,25322,458996,206106
"Thurston County, Washington",2014,265851,130128,135723,49768,31278,38889,34839,34490,36302,24166,11526,4593,230162,13641,21003,4302,22292,243559,111797
"Whatcom County, Washington",2014,208351,102098,106253,35783,38265,25887,23489,25622,27350,19485,8272,4198,185868,3865,12342,6663,18636,189715,92462
"Yakima County, Washington",2014,247687,123583,124104,62342,37511,31647,29018,28834,26730,18105,9684,3816,204264,4262,4601,28370,118127,129560,86370
"Benton County, Washington",2015,190309,94332,95977,42117,25755,26050,22643,23804,22930,16228,7367,3415,162061,4285,7909,22529,39881,150428,73060
"Chelan County, Washington",2015,75644,37891,37753,15150,8827,8993,9049,9462,10408,7929,3903,1923,70061,N,N,5725,20978,54666,36450
"Clallam County, Washington",2015,73486,36025,37461,10374,7744,7251,6479,9059,12255,11729,5645,2950,67869,223,1862,N,4420,69066,35873
"Clark County, Washington",2015,459495,227728,231767,93497,58835,59288,62473,61697,58555,40824,16806,7520,411095,15705,28699,15104,41538,417957,174714
"Cowlitz County, Washington",2015,103468,50784,52684,19920,11588,12913,11569,13717,14920,11239,5219,2383,97699,1631,2375,2551,8930,94538,43567
