year,area_title,occ_title,o_group,tot_emp,hourly_mean,annual_mean
2018,Washington,All,total,"3,259,150",28.56,"59,410"
2018,Washington,Management,major,"165,590",61.23,"127,360"
2018,Washington,Business and Financial Operations,major,"217,510",38.73,"80,560"
2018,Washington,Computer and Mathematical,major,"164,830",52.24,"108,660"
2018,Washington,Architecture and Engineering,major,"75,110",45.99,"95,660"
2018,Washington,"Life, Physical, and Social Science",major,"35,780",36.20,"75,290"
2018,Washington,Community and Social Service,major,"48,550",24.87,"51,740"
2018,Washington,Legal,major,"21,540",49.43,"102,810"
2018,Washington,"Education, Training, and Library",major,"188,000",27.19,"56,560"
2018,Washington,"Arts, Design, Entertainment, Sports, and Media",major,"48,520",28.15,"58,560"
2018,Washington,Healthcare Practitioners and Technical,major,"165,250",44.16,"91,840"
2018,Washington,Healthcare Support,major,"87,340",18.22,"37,900"
2018,Washington,Protective Service,major,"66,080",28.53,"59,340"
2018,Washington,Food Preparation and Serving Related,major,"294,260",15.23,"31,670"
2018,Washington,Building and Grounds Cleaning and Maintenance,major,"89,490",16.94,"35,230"
2018,Washington,Personal Care and Service,major,"120,640",16.49,"34,290"
2018,Washington,Sales and Related,major,"307,380",22.25,"46,280"
2018,Washington,Office and Administrative Support,major,"442,170",20.90,"43,470"
2018,Washington,"Farming, Fishing, and Forestry",major,"20,270",16.46,"34,240"
2018,Washington,Construction and Extraction,major,"161,140",29.23,"60,810"
2018,Washington,"Installation, Maintenance, and Repair",major,"129,080",26.59,"55,300"
2018,Washington,Production,major,"177,600",22.86,"47,560"
2018,Washington,Transportation and Material Moving,major,"233,020",21.35,"44,410"
2018,"Bellingham, WA",All,total,"88,580",23.58,"49,050"
2018,"Bremerton-Silverdale, WA",All,total,"88,620",26.22,"54,530"
2018,"Kennewick-Richland, WA",All,total,"114,100",26.29,"54,690"
2018,"Longview, WA",All,total,"37,540",23.64,"49,170"
2018,"Mount Vernon-Anacortes, WA",All,total,"47,530",24.05,"50,030"
2018,"Olympia-Tumwater, WA",All,total,"112,820",25.99,"54,050"
2018,"Seattle-Tacoma-Bellevue, WA",All,total,"1,984,320",31.44,"65,400"
2018,"Spokane-Spokane Valley, WA",All,total,"235,940",23.65,"49,200"
2018,"Walla Walla, WA",All,total,"25,350",23.26,"48,380"
2018,"Wenatchee, WA",All,total,"47,100",21.98,"45,720"
2018,"Yakima, WA",All,total,"92,880",21.61,"44,960"
2018,"Bellingham, WA",Management,major,"3,610",51.04,"106,160"
2018,"Bremerton-Silverdale, WA",Management,major,"3,010",53.07,"110,380"
2018,"Kennewick-Richland, WA",Management,major,"5,270",59.29,"123,330"
2018,"Longview, WA",Management,major,"1,590",49.54,"103,050"
2018,"Mount Vernon-Anacortes, WA",Management,major,"1,930",52.59,"109,380"
2018,"Olympia-Tumwater, WA",Management,major,"7,450",48.63,"101,150"
2018,"Seattle-Tacoma-Bellevue, WA",Management,major,"110,930",65.91,"137,090"
2018,"Spokane-Spokane Valley, WA",Management,major,"10,060",51.83,"107,810"
2018,"Walla Walla, WA",Management,major,920,45.21,"94,040"
2018,"Wenatchee, WA",Management,major,"1,590",46.15,"95,990"
2018,"Yakima, WA",Management,major,"3,070",51.83,"107,800"
2018,"Bellingham, WA",Business and Financial Operations,major,"4,350",32.82,"68,260"
2018,"Bremerton-Silverdale, WA",Business and Financial Operations,major,"4,960",37.42,"77,830"
2018,"Kennewick-Richland, WA",Business and Financial Operations,major,"4,730",37.78,"78,580"
2018,"Longview, WA",Business and Financial Operations,major,"1,110",32.01,"66,570"
2018,"Mount Vernon-Anacortes, WA",Business and Financial Operations,major,"1,750",32.41,"67,410"
2018,"Olympia-Tumwater, WA",Business and Financial Operations,major,"8,770",31.31,"65,120"
2018,"Seattle-Tacoma-Bellevue, WA",Business and Financial Operations,major,"158,490",40.85,"84,970"
2018,"Spokane-Spokane Valley, WA",Business and Financial Operations,major,"12,530",31.90,"66,350"
2018,"Walla Walla, WA",Business and Financial Operations,major,"1,320",34.26,"71,270"
2018,"Wenatchee, WA",Business and Financial Operations,major,"1,290",31.53,"65,590"
2018,"Yakima, WA",Business and Financial Operations,major,"2,510",30.40,"63,240"
2018,"Bellingham, WA",Computer and Mathematical,major,"1,360",37.86,"78,750"
2018,"Bremerton-Silverdale, WA",Computer and Mathematical,major,"1,910",40.60,"84,450"
2018,"Kennewick-Richland, WA",Computer and Mathematical,major,"1,890",43.30,"90,050"
2018,"Longview, WA",Computer and Mathematical,major,290,35.98,"74,830"
2018,"Mount Vernon-Anacortes, WA",Computer and Mathematical,major,610,37.76,"78,540"
2018,"Olympia-Tumwater, WA",Computer and Mathematical,major,"5,570",40.74,"84,740"
